	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	(1) Raw Indicators	(2) Std Indicators	(3) PCA Factors	(4) DID + Raw	(5) DID + Std	(6) DID + PCA
						
green_invention_patents	4.99e-05**			7.48e-05***		
	(2.12e-05)			(1.60e-05)		
green_utility_patents	-7.54e-06			-1.70e-05		
	(1.64e-05)			(1.50e-05)		
credit	24.94*			15.01		
	(13.74)			(11.20)		
bond	-24.94			-16.85		
	(17.46)			(15.44)		
investment	0.973			0.547		
	(0.748)			(0.580)		
insurance	0.214			-2.322		
	(3.771)			(2.869)		
equity	11.09			13.09		
	(15.10)			(12.63)		
fund	5.859			-2.508		
	(9.182)			(6.885)		
carbon_finance	-0.0728***			-0.0806***		
	(0.0240)			(0.0219)		
ln_gdp	1.179**	1.179**	1.358**	0.985*	0.985*	1.351**
	(0.537)	(0.537)	(0.551)	(0.538)	(0.538)	(0.558)
sec_pctg	9.156***	9.156***	8.922***	7.307***	7.307***	6.992***
	(2.231)	(2.231)	(2.297)	(2.053)	(2.053)	(2.170)
coal_share_pctg	0.701	0.701	0.478	0.377	0.377	0.230
	(0.890)	(0.890)	(1.038)	(0.775)	(0.775)	(0.878)
population	-0.000429*	-0.000429*	-0.000519**	-0.000342*	-0.000342*	-0.000442**
	(0.000217)	(0.000217)	(0.000224)	(0.000186)	(0.000186)	(0.000195)
urbanization_rate	-5.849***	-5.849***	-7.222***	-4.989**	-4.989**	-7.066***
	(2.010)	(2.010)	(1.701)	(1.844)	(1.844)	(1.647)
env_exp_share	4.048	4.048	1.765	6.192	6.192	0.0321
	(6.135)	(6.135)	(5.343)	(5.139)	(5.139)	(4.936)
green_finance_pilot	-0.136	-0.136	-0.122	-0.0989	-0.0989	-0.124
	(0.204)	(0.204)	(0.188)	(0.186)	(0.186)	(0.174)
market_index	0.0911	0.0911	0.0808	0.131**	0.131**	0.119**
	(0.0631)	(0.0631)	(0.0596)	(0.0526)	(0.0526)	(0.0484)
2008.year	-0.0817	-0.0817	-0.109	-0.0486	-0.0486	-0.103
	(0.0830)	(0.0830)	(0.0872)	(0.0658)	(0.0658)	(0.0767)
2009.year	-0.125	-0.125	-0.177	-0.108	-0.108	-0.194
	(0.153)	(0.153)	(0.152)	(0.129)	(0.129)	(0.136)
2010.year	-0.0807	-0.0807	-0.192	-0.0529	-0.0529	-0.214
	(0.230)	(0.230)	(0.220)	(0.192)	(0.192)	(0.194)
2011.year	0.109	0.109	-0.0515	0.153	0.153	-0.0852
	(0.315)	(0.315)	(0.303)	(0.273)	(0.273)	(0.273)
2012.year	0.153	0.153	-0.0445	0.173	0.173	-0.111
	(0.384)	(0.384)	(0.371)	(0.334)	(0.334)	(0.335)
2013.year	0.246	0.246	0.00832	0.216	0.216	-0.107
	(0.453)	(0.453)	(0.436)	(0.396)	(0.396)	(0.390)
2014.year	0.315	0.315	0.0253	0.242	0.242	-0.120
	(0.521)	(0.521)	(0.491)	(0.458)	(0.458)	(0.440)
2015.year	0.473	0.473	0.135	0.354	0.354	-0.0655
	(0.591)	(0.591)	(0.551)	(0.519)	(0.519)	(0.490)
2016.year	0.988	0.988	0.649	0.832	0.832	0.420
	(0.793)	(0.793)	(0.730)	(0.721)	(0.721)	(0.665)
2017.year	1.280	1.280	0.913	1.097	1.097	0.656
	(0.769)	(0.769)	(0.728)	(0.694)	(0.694)	(0.656)
2018.year	1.633*	1.633*	1.241	1.408*	1.408*	0.956
	(0.850)	(0.850)	(0.807)	(0.768)	(0.768)	(0.731)
2019.year	1.633*	1.633*	1.130	1.403*	1.403*	0.806
	(0.879)	(0.879)	(0.836)	(0.802)	(0.802)	(0.763)
2020.year	1.781*	1.781*	1.286	1.504*	1.504*	0.956
	(0.890)	(0.890)	(0.865)	(0.805)	(0.805)	(0.781)
2021.year	2.504**	2.504**	2.009**	2.150**	2.150**	1.637*
	(0.974)	(0.974)	(0.936)	(0.857)	(0.857)	(0.827)
2022.year	2.744**	2.744**	2.267**	2.159**	2.159**	1.670*
	(1.067)	(1.067)	(1.038)	(0.935)	(0.935)	(0.912)
z_green_invention_patents		0.205**			0.308***	
		(0.0874)			(0.0659)	
z_green_utility_patents		-0.0313			-0.0708	
		(0.0681)			(0.0621)	
z_credit		0.204*			0.123	
		(0.112)			(0.0914)	
z_bond		-0.594			-0.401	
		(0.416)			(0.368)	
z_investment		0.476			0.267	
		(0.366)			(0.284)	
z_insurance		0.00705			-0.0766	
		(0.124)			(0.0946)	
z_equity		0.138			0.162	
		(0.187)			(0.157)	
z_fund		0.0640			-0.0274	
		(0.100)			(0.0752)	
z_carbon_finance		-0.452***			-0.501***	
		(0.149)			(0.136)	
factor_1			0.116			0.115
			(0.168)			(0.154)
factor_2			0.206**			0.229***
			(0.0947)			(0.0741)
factor_3			-0.159			-0.288
			(0.285)			(0.244)
did_pre2				0.269	0.269	0.339*
				(0.198)	(0.198)	(0.179)
did_post0				1.094*	1.094*	1.022*
				(0.579)	(0.579)	(0.544)
did_post1				4.326***	4.326***	4.235***
				(0.404)	(0.404)	(0.429)
o.did_post2				-	-	-
						
Constant	-8.376**	-9.244**	-9.298**	-6.851*	-7.713**	-8.891**
	(3.710)	(3.739)	(4.099)	(3.477)	(3.538)	(3.832)
						
Observations	480	480	480	480	480	480
R-squared	0.698	0.698	0.686	0.767	0.767	0.755
Number of province_id	30	30	30	30	30	30
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
