	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	(gtfp_level) +Base	(gtfp_level) +Econ	(gtfp_level) +Social	(gtfp_level) +Full	(ln_so2) +Base	(ln_so2) +Econ	(ln_so2) +Social	(ln_so2) +Full
								
did_pre2	0.177	0.130	0.336*	0.339*	-0.0244	-0.0772	-0.0894	-0.141**
	(0.124)	(0.123)	(0.180)	(0.179)	(0.163)	(0.112)	(0.0704)	(0.0639)
did_post0	1.394*	1.166*	1.072*	1.022*	-0.179	-0.322***	-0.303***	-0.354***
	(0.707)	(0.572)	(0.531)	(0.544)	(0.144)	(0.104)	(0.0831)	(0.0808)
did_post1	4.756***	4.464***	4.304***	4.235***	-0.161	-0.334**	-0.283***	-0.348***
	(0.267)	(0.391)	(0.432)	(0.429)	(0.170)	(0.135)	(0.0954)	(0.0970)
did_post2	4.667***				-0.191	-0.326**		
	(0.288)				(0.184)	(0.129)		
factor_1	0.258	0.269*	0.141	0.115	-0.0496	-0.0174	0.0808	0.114
	(0.172)	(0.140)	(0.131)	(0.154)	(0.0945)	(0.0895)	(0.0703)	(0.0730)
factor_2	0.213**	0.260***	0.238***	0.229***	-0.150**	-0.122*	-0.0317	0.00452
	(0.0832)	(0.0675)	(0.0550)	(0.0741)	(0.0705)	(0.0685)	(0.0720)	(0.0588)
factor_3	-0.420**	-0.469***	-0.360*	-0.288	-0.196*	-0.201**	-0.265	-0.236
	(0.193)	(0.129)	(0.193)	(0.244)	(0.108)	(0.0943)	(0.157)	(0.188)
ln_gdp	1.296***	0.520	1.397**	1.351**	0.140	-0.349	0.0694	0.237
	(0.417)	(0.477)	(0.539)	(0.558)	(0.302)	(0.338)	(0.391)	(0.368)
2001.year	-0.0953*				-0.0745**	-0.0260		
	(0.0510)				(0.0326)	(0.0404)		
2002.year	-0.206**				-0.0724	0.0197		
	(0.0958)				(0.0590)	(0.0727)		
2003.year	-0.323**				0.0822	0.203		
	(0.157)				(0.102)	(0.121)		
2004.year	-0.553**	-0.140**			0.105	0.283		
	(0.222)	(0.0649)			(0.149)	(0.174)		
2005.year	-0.701**	-0.233*			0.214	0.430*		
	(0.276)	(0.120)			(0.196)	(0.225)		
2006.year	-0.846**	-0.316*	-0.117**		0.214	0.471*	-0.0263	
	(0.341)	(0.174)	(0.0532)		(0.243)	(0.271)	(0.0534)	
2007.year	-0.997**	-0.312	-0.188		0.143	0.494	-0.0873	
	(0.427)	(0.261)	(0.143)		(0.302)	(0.338)	(0.114)	
2008.year	-1.217**	-0.414	-0.331	-0.103	0.0386	0.465	-0.227	-0.187***
	(0.494)	(0.333)	(0.216)	(0.0767)	(0.356)	(0.396)	(0.163)	(0.0573)
2009.year	-1.470**	-0.552	-0.430	-0.194	-0.0176	0.472	-0.305	-0.264***
	(0.541)	(0.385)	(0.270)	(0.136)	(0.386)	(0.430)	(0.193)	(0.0864)
2010.year	-1.578**	-0.571	-0.459	-0.214	-0.0320	0.515	-0.319	-0.308**
	(0.612)	(0.447)	(0.328)	(0.194)	(0.430)	(0.480)	(0.232)	(0.132)
2011.year	-1.547**	-0.415	-0.350	-0.0852	0.0146	0.639	-0.278	-0.315*
	(0.685)	(0.528)	(0.411)	(0.273)	(0.482)	(0.533)	(0.282)	(0.183)
