	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	(coal_share_pctg) +Base	(coal_share_pctg) +Econ	(coal_share_pctg) +Social	(coal_share_pctg) +Full	(ln_co2) +Base	(ln_co2) +Econ	(ln_co2) +Social	(ln_co2) +Full
								
did_pre2	0.00871	0.00954	0.0231	0.0278	0.0573	0.0176	-0.00611	-0.00693
	(0.0344)	(0.0345)	(0.0351)	(0.0307)	(0.0647)	(0.0369)	(0.0289)	(0.0233)
did_post0	0.0179	0.0202	0.0286	0.0361*	0.0846	0.0359	0.0357	0.0430
	(0.0154)	(0.0185)	(0.0191)	(0.0191)	(0.0805)	(0.0511)	(0.0476)	(0.0413)
did_post1	0.000214	0.00295	0.0120	0.0200	0.106	0.0618	0.0701	0.0787*
	(0.0364)	(0.0399)	(0.0398)	(0.0382)	(0.0911)	(0.0551)	(0.0511)	(0.0446)
o.did_post2	-	-	-	-		-	-	-
								
factor_1	-0.0162	-0.0166	-0.00688	0.00989	-0.0663**	-0.0495**	-0.0468	-0.0543*
	(0.0126)	(0.0135)	(0.00979)	(0.0128)	(0.0298)	(0.0233)	(0.0294)	(0.0311)
factor_2	-0.00572	-0.00607	-0.00240	0.00993	-0.0546*	-0.0440	-0.0730	-0.0729*
	(0.0129)	(0.0134)	(0.0112)	(0.0110)	(0.0305)	(0.0263)	(0.0482)	(0.0425)
factor_3	-0.0178	-0.0177	-0.0548***	-0.100***	0.00475	0.0135	0.0265	0.0601
	(0.0160)	(0.0162)	(0.0173)	(0.0357)	(0.0502)	(0.0497)	(0.0765)	(0.0986)
ln_gdp	-0.0912	-0.0836	-0.116*	-0.116	0.346***	0.212*	0.156	0.161
	(0.0694)	(0.0627)	(0.0661)	(0.0721)	(0.107)	(0.111)	(0.142)	(0.162)
sec_pctg		-0.0429	0.0195	-0.0525		0.441	0.273	0.115
		(0.223)	(0.266)	(0.273)		(0.304)	(0.325)	(0.351)
2004.year	-0.00461	-0.00549			0.252***	0.114***		
	(0.0177)	(0.0166)			(0.0555)	(0.0181)		
2005.year	0.00845	0.00698			0.328***	0.203***		
	(0.0277)	(0.0251)			(0.0699)	(0.0318)		
2006.year	0.0196	0.0175	0.0119		0.392***	0.283***	0.0831***	
	(0.0369)	(0.0327)	(0.0173)		(0.0889)	(0.0498)	(0.0217)	
2007.year	0.0226	0.0191	0.0174		0.415***	0.337***	0.142***	
	(0.0510)	(0.0442)	(0.0270)		(0.110)	(0.0707)	(0.0463)	
2008.year	0.0483	0.0435	0.0440	0.0232	0.389***	0.329***	0.140**	0.00285
	(0.0636)	(0.0545)	(0.0370)	(0.0148)	(0.126)	(0.0859)	(0.0613)	(0.0212)
2009.year	0.0645	0.0588	0.0614	0.0387*	0.447***	0.398***	0.206***	0.0738**
	(0.0678)	(0.0579)	(0.0414)	(0.0216)	(0.134)	(0.0933)	(0.0705)	(0.0297)
2010.year	0.0523	0.0457	0.0514	0.0255	0.479***	0.457***	0.273***	0.147***
	(0.0792)	(0.0677)	(0.0508)	(0.0313)	(0.149)	(0.105)	(0.0814)	(0.0421)
2011.year	0.0617	0.0538	0.0632	0.0304	0.513***	0.515***	0.335***	0.209***
	(0.0931)	(0.0791)	(0.0618)	(0.0416)	(0.166)	(0.119)	(0.0978)	(0.0626)
2012.year	0.0694	0.0604	0.0729	0.0357	0.520***	0.539***	0.358***	0.236***
	(0.103)	(0.0869)	(0.0695)	(0.0492)	(0.177)	(0.128)	(0.108)	(0.0721)
2013.year	0.0543	0.0441	0.0601	0.0206	0.539***	0.583***	0.401***	0.285***
	(0.111)	(0.0926)	(0.0763)	(0.0564)	(0.187)	(0.136)	(0.116)	(0.0775)
2014.year	0.0568	0.0457	0.0654	0.0240	0.531**	0.588***	0.404***	0.291***
	(0.116)	(0.0972)	(0.0818)	(0.0625)	(0.194)	(0.141)	(0.123)	(0.0828)
2015.year	0.0547	0.0422	0.0649	0.0216	0.520**	0.595***	0.412***	0.301***
	(0.120)	(0.101)	(0.0877)	(0.0702)	(0.199)	(0.144)	(0.125)	(0.0867)
2016.year	0.0546	0.0410	0.0683	0.0219	0.507**	0.598***	0.412***	0.296***
	(0.127)	(0.107)	(0.0952)	(0.0783)	(0.207)	(0.152)	(0.135)	(0.103)
2017.year	0.0440	0.0295	0.0604	0.0162	0.516**	0.626***	0.444***	0.315***
	(0.134)	(0.113)	(0.102)	(0.0876)	(0.215)	(0.157)	(0.140)	(0.114)
2018.year	0.0297	0.0142	0.0491	0.00345	0.541**	0.671***	0.492***	0.366***
	(0.140)	(0.117)	(0.108)	(0.0955)	(0.223)	(0.164)	(0.147)	(0.122)
2019.year	0.0323	0.0160	0.0527	0.00642	0.549**	0.693***	0.518***	0.395***
	(0.146)	(0.122)	(0.113)	(0.101)	(0.231)	(0.169)	(0.151)	(0.129)
2020.year	0.0295	0.0126	0.0561	0.00743	0.556**	0.707***	0.526***	0.399***
	(0.146)	(0.123)	(0.116)	(0.105)	(0.233)	(0.173)	(0.156)	(0.138)
2021.year	0.0186	0.00122	0.0474	-0.00313	0.561**	0.731***	0.550***	0.424**
	(0.153)	(0.129)	(0.120)	(0.110)	(0.244)	(0.184)	(0.170)	(0.155)
2022.year	0.0122	-0.00569	0.0425	-0.00894	0.531**	0.713***	0.533***	0.407**
	(0.156)	(0.131)	(0.123)	(0.113)	(0.249)	(0.189)	(0.177)	(0.164)
population			1.27e-05	1.73e-05			0.000118	9.74e-05**
			(3.70e-05)	(3.67e-05)			(7.16e-05)	(4.61e-05)
urbanization_rate			-0.108	-0.182			0.220	0.0398
			(0.210)	(0.178)			(0.287)	(0.310)
env_exp_share				-0.894				-0.639
				(0.539)				(0.735)
green_finance_pilot				-0.0158				0.0999
				(0.0219)				(0.0788)
market_index				-6.77e-05				-0.0116
				(0.00808)				(0.0194)
did_post2					0.139			
					(0.0989)			
2001.year					0.0160			
					(0.0114)			
2002.year					0.0620***			
					(0.0211)			
2003.year					0.162***			
					(0.0368)			
2023.year					0.574**			
					(0.253)			
coal_share_pctg						0.307	0.339**	0.318*
						(0.186)	(0.160)	(0.183)
Constant	1.238**	1.194**	1.448**	1.551**	15.54***	16.46***	16.59***	17.04***
	(0.562)	(0.505)	(0.530)	(0.590)	(0.863)	(0.911)	(1.274)	(1.202)
								
Observations	600	600	540	480	720	600	540	480
R-squared	0.700	0.700	0.725	0.752	0.949	0.923	0.888	0.848
Number of province_id	30	30	30	30	30	30	30	30
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
