地区,所属地域,id,年份,规模以上工业企业平均用工人数（万人）,规模以上工业企业固定资产净值（亿元）,能源投入（万吨标准煤）,工业增加值(亿元),工业废水排放量（万吨）,工业固体废弃物排放量（万吨）,,GML指数,工业绿色全要素生产率
北京,东部,1,2000,113.13,1824.99,4144,831,23164,14.552,,1,1
天津,东部,2,2000,120.19,1808.84,2794,716.7,17604,15.013,,1,1
河北,东部,3,2000,269.75,2762.46,11196,1868.4,89600,148.484,,1,1
山西,中部,4,2000,183.56,1707.34,6728,748.7,32406,129.543,,1,1
内蒙古,西部,5,2000,85.34,1063.61,3549,484.2,21844,47.894,,1,1
辽宁,东部,6,2000,295.18,3911.98,10656,2114.9,109044,97.645,,1,1
吉林,中部,7,2000,134.85,1528.2,3766,565.5,37386,40.68,,1,1
黑龙江,中部,8,2000,195.17,2284.7,6166,1566.4,52644,51.319,,1,1
上海,东部,9,2000,204.94,3758.04,5499,2022.5,72446,11.009,,1,1
江苏,东部,10,2000,518.19,4653.25,8612,3848.5,201923,63.153,,1,1
浙江,东部,11,2000,323.22,2947.13,6560,2964.7,136433,73.672,,1,1
安徽,中部,12,2000,162.61,1473.13,4879,841.5,63106,52.847,,1,1
福建,东部,13,2000,155.55,1599.04,3463,1422.3,57617,29.062,,1,1
江西,中部,14,2000,108.85,891.81,2505,543.9,41956,57.741,,1,1
山东,东部,15,2000,522.37,4581.28,11362,3620.1,110324,128.866,,1,1
河南,中部,16,2000,345.2,2615.61,7919,2000,109210,150.835,,1,1
湖北,中部,17,2000,230.36,2281.64,6269,1243.2,106733,73.175,,1,1
湖南,中部,18,2000,166.71,1451.99,4071,1094.8,112563,102.094,,1,1
广东,东部,19,2000,572.89,5884.78,9448,4518.7,114055,84.435,,1,1
广西,西部,20,2000,91.25,1039.73,2669,612.3,81571,115.872,,1,1
海南,东部,21,2000,12,208.87,480,70.5,7064,3.155,,1,1
重庆,西部,22,2000,90.79,893.7,2428,644,84344,34.191,,1,1
四川,西部,23,2000,208,2291.64,6518,1170.6,116979,135.87,,1,1
贵州,西部,24,2000,68.34,742.34,4279,328.7,20598,74.869,,1,1
云南,西部,25,2000,77.07,1156.65,3468,707,35117,35.538,,1,1
陕西,西部,26,2000,124.98,1379.2,2731,629.9,30903,74.915,,1,1
甘肃,西部,27,2000,91.25,935.19,3012,327.6,23795,27.112,,1,1
青海,西部,28,2000,15.87,422.98,897,50.9,4661,10.547,,1,1
宁夏,西部,29,2000,22.41,271.78,1179,96.7,10942,25.832,,1,1
新疆,西部,30,2000,46.52,1044.87,3328,418.6,15365,19.657,,1,1
北京,东部,1,2001,108.02,1838.48,4313,920.2,21165,19.657,,1.11308538,1.11308538
天津,东部,2,2001,123.44,1916.13,2918,768.6,21250,10.651,,1.023147988,1.023147988
河北,东部,3,2001,272.98,3020.15,10391,2011.2,103041,10.805,,1.032596595,1.032596595
山西,中部,4,2001,178.57,1902.03,7968,832.5,31093,122.54,,1.020918434,1.020918434
内蒙古,西部,5,2001,81.44,1095.33,4073,541,20960,133.467,,1.089951009,1.089951009
辽宁,东部,6,2001,260.68,4354.16,10656,2190.1,99505,38.516,,1.012841995,1.012841995
吉林,中部,7,2001,124.52,1628.97,3863,624.7,35574,86.866,,1.081993834,1.081993834
黑龙江,中部,8,2001,177.36,2328.39,6037,1592,49444,36.338,,1.035286972,1.035286972
上海,东部,9,2001,208.44,4006.02,5818,2194.1,68012,50.252,,1.03204052,1.03204052
江苏,东部,10,2001,514.8,4971.11,8881,4270.9,271029,8.055,,1.074985459,1.074985459
浙江,东部,11,2001,366.62,3300.99,6530,3205.4,158113,67.627,,0.992392736,0.992392736
安徽,中部,12,2001,149.73,1509.07,5118,1007.3,63229,49.544,,1.191366511,1.191366511
福建,东部,13,2001,161.93,1792.51,3163,1586.5,69724,47.913,,1.064888366,1.064888366
江西,中部,14,2001,100.65,942.67,2329,603.2,41507,24.945,,1.107146933,1.107146933
山东,东部,15,2001,523.08,4916.05,9955,3911,115233,36.694,,1.07434533,1.07434533
河南,中部,16,2001,335.73,2791.78,8244,2182.8,110152,117.108,,1.045394066,1.045394066
湖北,中部,17,2001,218.32,2343.15,6052,1360.1,97714,135,,1.098574552,1.098574552
湖南,中部,18,2001,155.2,1521.05,4622,1180.4,107175,63.707,,1.037626084,1.037626084
广东,东部,19,2001,578.94,6211.69,10179,5012.2,112812,100.579,,1.055309317,1.055309317
广西,西部,20,2001,88.86,1056.43,2669,639.5,90512,54.102,,1.041486275,1.041486275
海南,东部,21,2001,11.78,203.28,520,97.9,7001,94.721,,1.398676104,1.398676104
重庆,西部,22,2001,84.19,898.36,3016,707.6,81214,2.169,,1.07806962,1.07806962
四川,西部,23,2001,195.97,2370.4,6810,1270.9,114920,32.425,,1.07209815,1.07209815
贵州,西部,24,2001,66.36,830.7,4438,360.7,20812,129.804,,1.029750721,1.029750721
云南,西部,25,2001,70.96,1172.09,3490,734.5,32713,53.166,,1.053194703,1.053194703
陕西,西部,26,2001,115.46,1590.06,3257,706.6,28634,29.239,,1.01715961,1.01715961
甘肃,西部,27,2001,85.98,993.08,2905,355.5,20722,58.835,,1.070122187,1.070122187
青海,西部,28,2001,14.1,442.85,930,58,4385,25.102,,1.152519993,1.152519993
宁夏,西部,29,2001,22.02,318.54,1278.5,106.8,10450,8.815,,1.000225319,1.000225319
新疆,西部,30,2001,42.37,1145.58,3496,445.6,16797,20.449,,1.024402082,1.024402082
北京,东部,1,2002,107.56,1892.75,4436,999.6,18044,7.955,,1.074580581,1.196099935
天津,东部,2,2002,120.95,1935.51,3022,830.5,21959,10.351,,1.071533345,1.096337186
河北,东部,3,2002,261.86,3143.8,11588,2175.3,106772,117.56,,1.043891425,1.077918731
山西,中部,4,2002,181.54,2112.5,9340,991.4,30777,131.05,,1.090177853,1.112982666
内蒙古,西部,5,2002,78.87,1154.05,4560,614.9,22737,39.28,,1.096215429,1.194821113
辽宁,东部,6,2002,250.49,4514.29,10602,2332,92001,76.349,,1.058485677,1.072078745
吉林,中部,7,2002,114.3,1722.61,4531,653.5,34783,32.937,,1.005124512,1.087538525
黑龙江,中部,8,2002,168.82,2426.43,6004,1650.8,47983,47.644,,1.029340803,1.065663122
上海,东部,9,2002,208.97,4067.17,6249,2399.1,64857,7.102,,1.075298534,1.109751658
江苏,东部,10,2002,531.67,5499.58,9609,4880.1,262715,59.569,,1.041571654,1.119674383
浙江,东部,11,2002,412.73,3806.5,8280,3670.4,168048,51.332,,0.974536966,0.967123406
安徽,中部,12,2002,149.36,1611.53,5316,1055.3,64577,44.797,,1.001095042,1.192671108
福建,东部,13,2002,178.96,1936.49,3762,1809,78511,22.232,,1.025398084,1.09193449
