uid,province_id,province,year,co2_emissions,gdp,green_invention_patents,green_utility_patents,credit,bond,investment,insurance,equity,fund,carbon_finance,gf_index,green_finance_pilot,ln_gdp,ln_co2,z_green_invention_patents,z_green_utility_patents,z_credit,z_bond,z_investment,z_insurance,z_equity,z_fund,z_carbon_finance,Factor_1,Factor_2,Factor_3
3100,1,Shanghai,2000,71538176,4880,98,109,0.024,0.067000002,0.12,0.007,0.034000002,0.029999999,6.2119999,0.168,0,8.4929008,18.085741,-0.46754447,-0.47399458,-1.5025125,-1.7578163,-0.29044652,-0.96399641,-1.7872802,-1.7875015,0.29636797,-1.8210794,-0.15998088,-0.34142604
3101,1,Shanghai,2001,69645920,5348.1001,165,202,0.024,0.068999998,0.094999999,0.011,0.037,0.029999999,6.25,0.13600001,0,8.5844965,18.058935,-0.45124996,-0.45159754,-1.5025125,-1.673861,-0.34155726,-0.84272772,-1.5454221,-1.7875015,0.30248857,-1.7446856,-0.13143224,-0.35842323
3102,1,Shanghai,2002,80866288,5908.1001,272,230,0.025,0.075999998,0.101,0.01,0.037999999,0.035,5.533,0.226,0,8.6840792,18.208307,-0.4252274,-0.44485435,-1.3800464,-1.3800172,-0.32929069,-0.87304491,-1.4648029,-1.3296096,0.18700287,-1.4750526,-0.21552977,-0.36325976
3103,1,Shanghai,2003,92319352,6952.5,382,254,0.024,0.079000004,0.116,0.009,0.039999999,0.037,4.8270001,0.19400001,0,8.8468561,18.340765,-0.39847526,-0.43907446,-1.5025125,-1.2540838,-0.29862425,-0.9033621,-1.303564,-1.1464528,0.073288955,-1.3763304,-0.24833897,-0.38620058
3104,1,Shanghai,2004,108254088,8309.4004,451,354,0.025,0.083999999,0.081,0.013,0.039999999,0.039000001,4.3670001,0.19,0,9.0251427,18.499992,-0.38169438,-0.41499162,-1.3800464,-1.0441954,-0.3701793,-0.78209335,-1.303564,-0.96329606,-0.00080229,-1.2490535,-0.24334203,-0.44671434
3105,1,Shanghai,2005,115370448,9398.7998,689,474,0.027000001,0.082999997,0.094999999,0.015,0.045000002,0.039000001,3.9230001,0.193,0,9.1483374,18.56366,-0.32381245,-0.38609222,-1.1351144,-1.0861732,-0.34155726,-0.72145903,-0.90046668,-0.96329606,-0.072316445,-1.0881947,-0.23760892,-0.43621019
3106,1,Shanghai,2006,124628480,10825.4,903,503,0.028000001,0.090999998,0.077,0.015,0.045000002,0.039000001,3.8139999,0.211,0,9.2896509,18.640848,-0.27176738,-0.37910819,-1.0126485,-0.75035155,-0.37835702,-0.72145903,-0.90046668,-0.96329606,-0.089872874,-0.96913815,-0.25069353,-0.4420388
3107,1,Shanghai,2007,127207432,13179.8,1210,646,0.034000002,0.094999999,0.072999999,0.009,0.050999999,0.043000001,3.0739999,0.30000001,0,9.4864407,18.661329,-0.19710456,-0.34466973,-0.27785265,-0.58244067,-0.38653475,-0.9033621,-0.41675046,-0.59698254,-0.20906313,-0.47825721,-0.41063502,-0.40673324
3108,1,Shanghai,2008,133276680,14877.1,1433,944,0.032000002,0.098999999,0.082000002,0.012,0.052999999,0.046999998,2.9549999,0.34400001,0,9.6075783,18.707937,-0.14287065,-0.27290288,-0.52278459,-0.41452986,-0.36813486,-0.81241053,-0.25551158,-0.23066932,-0.22823021,-0.36584499,-0.36388636,-0.38402617
3109,1,Shanghai,2009,149620544,16181.4,1731,1313,0.030999999,0.097999997,0.068999998,0.017999999,0.048999999,0.043000001,2.7060001,0.109,0,9.691618,18.823612,-0.070396654,-0.18403722,-0.6452508,-0.45650762,-0.39471248,-0.63050753,-0.57798928,-0.59698254,-0.26833609,-0.63867122,-0.16657721,-0.4594959
3110,1,Shanghai,2010,167517168,18319.6,2107,1547,0.034000002,0.097999997,0.056000002,0.026000001,0.054000001,0.045000002,2.609,0.182,0,9.8157272,18.936596,0.02104705,-0.12768339,-0.27785265,-0.45650762,-0.42129004,-0.38797015,-0.17489201,-0.41382575,-0.28395969,-0.39958918,-0.10149014,-0.44125208
3111,1,Shanghai,2011,174438240,20406.1,2435,1793,0.037,0.111,0.064000003,0.024,0.054000001,0.046999998,2.51,0.24600001,0,9.9235888,18.977081,0.10081709,-0.068439603,0.089545049,0.089202672,-0.40493461,-0.44860449,-0.17489201,-0.23066932,-0.29990542,-0.098883197,-0.1474124,-0.37557623
3112,1,Shanghai,2012,179224048,21774.9,2797,2113,0.035,0.106,0.066,0.024,0.055,0.048,2.3050001,0.111,0,9.988513,19.004147,0.18885598,0.008625475,-0.15538691,-0.12068596,-0.40084577,-0.44860449,-0.09427274,-0.13909078,-0.33292434,-0.19748777,-0.051648993,-0.39321703
3113,1,Shanghai,2013,181945392,23809.4,3216,1995,0.039999999,0.109,0.059,0.022,0.059,0.050999999,2.3559999,0.19599999,0,10.077836,19.019217,0.29075733,-0.019792272,0.45694274,0.005247098,-0.41515675,-0.50923884,0.22820497,0.13564421,-0.32470989,0.17436342,-0.14475705,-0.32379478
3114,1,Shanghai,2014,186258096,25964.5,3433,2338,0.035999998,0.115,0.071999997,0.030999999,0.057,0.050000001,2.191,0.139,0,10.164486,19.042645,0.34353203,0.062811859,-0.032921158,0.25711352,-0.38857919,-0.2363843,0.066966116,0.044065997,-0.35128608,0.010367665,0.040654425,-0.35505795
