year,id,GDP（亿元）,地方一般公共预算支出（亿元）,环境保护支出（亿元）,占比
2007,北京,9353.32,1649.5023,29.5827,0.017934319
2007,天津,5050.4,674.3262,5.9143,0.008770681
2007,河北,13709.5,1506.6482,43.7978,0.029069693
2007,山西,5733.35,1049.9228,44.9696,0.04283134
2007,内蒙古,6091.12,1082.3054,61.7283,0.057034087
2007,辽宁,11023.49,1764.2805,30.729,0.017417298
2007,吉林,5284.69,883.7597,30.4523,0.03445767
2007,黑龙江,7065,1187.2711,44.3402,0.037346315
2007,上海,12188.85,2181.678,20.0373,0.009184353
2007,江苏,25741.15,2553.7217,48.3065,0.018916118
2007,浙江,18780.44,1806.7928,31.3847,0.017370392
2007,安徽,7364.18,1243.8342,37.6495,0.030268906
2007,福建,9249.13,910.6446,9.7019,0.010653882
2007,江西,5500.25,905.0582,13.8809,0.015337025
2007,山东,25965.91,2261.8495,33.9445,0.015007409
2007,河南,15012.46,1870.6135,60.9191,0.032566375
2007,湖北,9230.68,1277.3257,28.0528,0.021962135
2007,湖南,9200,1357.031,29.8387,0.021988223
2007,广东,31084.4,3159.5703,26.71,0.008453681
2007,广西,5955.65,985.9433,14.1009,0.014301938
2007,海南,1223.28,245.1967,5.3236,0.021711548
2007,重庆,4122.51,768.3886,38.6191,0.050259855
2007,四川,10505.3,1759.1304,71.163,0.04045351
2007,贵州,2741.9,795.399,27.2324,0.034237408
2007,云南,4741.31,1135.2175,31.3816,0.027643689
2007,西藏,342.19,275.3682,4.7651,0.017304467
2007,陕西,5465.79,1053.9665,48.7457,0.046249762
2007,甘肃,2702.4,675.3372,33.601,0.049754404
2007,青海,783.61,282.1993,18.9848,0.06727444
2007,宁夏,889.2,241.8545,12.7629,0.052770984
2007,新疆,3523.16,795.154,22.6175,0.028444176
2008,北京,10488.03,1959.2857,35.4688,0.018102924
2008,天津,6354.38,867.7245,10.9789,0.012652518
2008,河北,16188.61,1881.6696,76.3556,0.040578644
2008,山西,6938.73,1315.0175,64.2863,0.04888627
2008,内蒙古,7761.8,1454.5732,79.6815,0.054779986
2008,辽宁,13461.57,2153.4348,48.1798,0.022373466
2008,吉林,6424.06,1180.1223,45.6067,0.03864574
2008,黑龙江,8310,1542.3004,48.5105,0.031453341
2008,上海,13698.15,2593.9161,25.0758,0.009667159
2008,江苏,30312.61,3247.4927,95.1795,0.029308611
2008,浙江,21486.92,2208.5756,46.5183,0.02106258
2008,安徽,8874.17,1647.1253,54.7367,0.033231655
2008,福建,10823.11,1137.7159,14.0264,0.012328561
2008,江西,6480.33,1210.073,31.8377,0.026310561
2008,山东,31072.06,2704.6613,58.6002,0.021666373
2008,河南,18407.78,2281.6093,75.851,0.033244517
2008,湖北,11330.38,1650.2763,40.9194,0.024795484
2008,湖南,11156.64,1765.2249,41.7066,0.023626791
2008,广东,35696.46,3778.5681,47.0878,0.012461811
2008,广西,7171.58,1297.11,27.974,0.021566405
2008,海南,1459.23,357.9708,6.8058,0.019012165
2008,重庆,5096.66,1016.0112,52.9297,0.052095587
2008,四川,12506.25,2948.8269,79.1451,0.02683952
2008,贵州,3333.4,1053.7922,40.4391,0.038374833
2008,云南,5700.1,1470.2388,58.4582,0.039761024
2008,西藏,395.91,380.6589,5.7068,0.0149919
2008,陕西,6851.32,1428.5208,58.7158,0.041102517
2008,甘肃,3176.11,968.4336,46.8469,0.04837389
2008,青海,961.53,363.595,19.5484,0.053764216
2008,宁夏,1098.51,324.6064,17.5067,0.053932085
2008,新疆,4203.41,1059.3638,30.4671,0.028759808
2009,北京,12153.03,2319.3658,54.0459,0.023302016
2009,天津,7521.85,1124.2778,13.3551,0.011878826
2009,河北,17235.48,2347.5894,104.1989,0.044385488
2009,山西,7358.31,1561.7047,70.6122,0.045214822
2009,内蒙古,9740.25,1926.8365,97.8972,0.050807217
2009,辽宁,15212.49,2682.3864,55.7077,0.020767962
2009,吉林,7278.75,1479.2092,49.4809,0.033450914
2009,黑龙江,8587,1877.738,59.0693,0.03145769
2009,上海,15046.45,2989.65,33.9565,0.011358018
2009,江苏,34457.3,4017.364,147.6025,0.036741132
2009,浙江,22990.35,2653.3486,55.421,0.020887191
2009,安徽,10062.82,2141.9217,59.2653,0.027669219
2009,福建,12236.53,1411.8238,33.825,0.023958372
2009,江西,7655.18,1562.3742,43.1419,0.027613039
2009,山东,33896.65,3267.6716,76.1698,0.023310115
2009,河南,19480.46,2905.763,92.9762,0.031997173
2009,湖北,12961.1,2090.9225,74.1536,0.035464538
2009,湖南,13059.69,2210.4442,73.6307,0.033310364
2009,广东,39482.56,4334.3727,100.7979,0.023255476
2009,广西,7759.16,1621.8218,49.9221,0.030781495
2009,海南,1654.21,486.0624,18.5107,0.03808297
2009,重庆,6530.01,1292.0928,50.0481,0.038734137
2009,四川,14151.28,3590.7175,114.4732,0.031880314
2009,贵州,3912.68,1372.2654,55.3084,0.040304448
2009,云南,6169.75,1952.3395,82.1579,0.042081769
2009,西藏,441.36,470.1322,9.7535,0.020746292
2009,陕西,8169.8,1841.6388,79.5011,0.043168671
2009,甘肃,3387.56,1246.2817,53.1503,0.0426471
2009,青海,1081.27,486.7457,28.9845,0.059547521
2009,宁夏,1353.31,432.3624,22.5874,0.052241823
2009,新疆,4277.05,1346.9125,36.4226,0.027041549
2010,北京,14113.58,2717.3174,60.8541,0.022394918
2010,天津,9224.46,1376.8395,27.099,0.019682033
2010,河北,20394.26,2820.2439,115.1556,0.040831788
2010,山西,9200.86,1931.3641,82.3735,0.042650425
2010,内蒙古,11672,2273.5046,107.9897,0.047499222
2010,辽宁,18457.27,3195.8156,77.4426,0.0242325
2010,吉林,8667.58,1787.2484,71.5473,0.040032096
2010,黑龙江,10368.6,2253.2694,88.9983,0.039497408
2010,上海,17165.98,3302.8862,47.3051,0.014322352
2010,江苏,41425.48,4914.0598,139.8948,0.028468274
2010,浙江,27722.31,3207.883,82.0725,0.02558463
2010,安徽,12359.33,2587.6135,64.7203,0.025011579
2010,福建,14737.12,1695.0906,39.7865,0.023471607
2010,江西,9451.26,1923.2633,49.1411,0.025550896
2010,山东,39169.92,4145.032,112.9334,0.027245483
2010,河南,23092.36,3416.1426,96.3782,0.028212581
2010,湖北,15967.61,2501.4027,96.3058,0.038500718
2010,湖南,16037.96,2702.4752,90.82,0.033606229
2010,广东,46013.06,5421.5432,239.1606,0.044113012
2010,广西,9569.85,2007.5907,63.9887,0.031873379
2010,海南,2064.5,581.3379,14.8874,0.025608858
2010,重庆,7925.58,1709.0353,69.0101,0.040379564
2010,四川,17185.48,4257.9806,112.9947,0.026537157
2010,贵州,4602.16,1631.4792,54.3197,0.033294755
2010,云南,7224.18,2285.7234,86.406,0.037802474
2010,西藏,507.46,551.0362,11.7746,0.021368106
2010,陕西,10123.48,2218.8283,82.8806,0.037353318
2010,甘肃,4120.75,1468.581,68.307,0.046512245
2010,青海,1350.43,743.4033,36.1484,0.048625558
2010,宁夏,1689.65,557.5285,30.7857,0.055218164
2010,新疆,5437.47,1698.9126,51.0155,0.030028325
2011,北京,16251.93,3245.23,94.51,0.029122743
2011,天津,11307.28,1796.33,32.24,0.017947704
2011,河北,24515.76,3537.39,105.48,0.029818595
2011,山西,11237.55,2363.85,82.18,0.034765319
2011,内蒙古,14359.88,2989.21,117.55,0.039324771
2011,辽宁,22226.7,3905.85,74.2,0.018997145
2011,吉林,10568.83,2201.74,102.42,0.046517754
2011,黑龙江,12582,2794.08,92.27,0.033023392
2011,上海,19195.69,3914.88,51.62,0.013185589
2011,江苏,49110.27,6221.72,170.37,0.027383103
2011,浙江,32318.85,3842.59,78.11,0.020327435
2011,安徽,15300.65,3302.99,81.96,0.024813881
2011,福建,17560.18,2198.18,37.95,0.017264282
2011,江西,11702.82,2534.6,43.76,0.017265052
2011,山东,45361.85,5002.07,113.95,0.022780569
2011,河南,26931.03,4248.82,95.6,0.022500365
2011,湖北,19632.26,3214.74,101.11,0.031451999
2011,湖南,19669.56,3520.76,85.26,0.024216362
2011,广东,53210.28,6712.4,232.62,0.034655265
2011,广西,11720.87,2545.28,53.9,0.021176452
2011,海南,2522.66,778.8,23.97,0.03077812
2011,重庆,10011.37,2570.24,100.81,0.039222018
2011,四川,21026.68,4674.92,115.8,0.024770477
2011,贵州,5701.84,2249.4,55.45,0.024651018
2011,云南,8893.12,2929.6,95.86,0.032721191
2011,西藏,605.83,758.11,16.05,0.02117107
2011,陕西,12512.3,2930.81,96.13,0.032799806
2011,甘肃,5020.37,1791.24,84.99,0.047447578
2011,青海,1670.44,967.47,41.76,0.043164129
2011,宁夏,2102.21,705.91,35.23,0.049907212
2011,新疆,6610.05,2284.49,53.67,0.023493209
2012,北京,17879.4,3685.3076,113.537,0.030808012
2012,天津,12893.88,2143.2125,38.4869,0.017957575
2012,河北,26575.01,4079.4366,127.9295,0.0313596
2012,山西,12112.83,2759.4582,88.1725,0.03195283
2012,内蒙古,15880.58,3425.9895,131.5865,0.03840832
2012,辽宁,24846.43,4558.5851,93.2663,0.020459484
2012,吉林,11939.24,2471.1956,113.8468,0.046069522
2012,黑龙江,13691.58,3171.5236,104.8634,0.033064045
2012,上海,20181.72,4184.017,55.1842,0.013189287
2012,江苏,54058.22,7027.6665,193.8259,0.027580407
2012,浙江,34665.33,4161.8779,77.698,0.018668976
2012,安徽,17212.05,3961.008,95.5189,0.024114796
2012,福建,19701.78,2607.502,48.5982,0.018637838
2012,江西,12948.88,3019.2244,66.9129,0.022162281
2012,山东,50013.24,5904.5188,154.4192,0.026152715
2012,河南,29599.31,5006.399,109.4525,0.02186252
2012,湖北,22250.45,3759.7915,95.634,0.025435985
2012,湖南,22154.23,4119.0015,109.4342,0.026568138
2012,广东,57067.92,7387.8565,235.4391,0.031868391
2012,广西,13035.1,2985.2261,60.009,0.020101995
2012,海南,2855.54,911.673,21.2315,0.023288504
2012,重庆,11409.6,3046.3599,128.6852,0.042242284
2012,四川,23872.8,5450.9893,135.9422,0.024938996
2012,贵州,6852.2,2755.6818,65.731,0.023852899
2012,云南,10309.47,3572.6574,101.1156,0.02830263
