省份代码,地区,年份,年末常住人口/万人,城镇人口/万人,乡村人口/万人
11,北京市,2000,1364,,
11,北京市,2001,1385,,
11,北京市,2002,1423,,
11,北京市,2003,1456,,
11,北京市,2004,1493,,
11,北京市,2005,1538,1286.08,251.92
11,北京市,2006,1601,1350.12,250.88
11,北京市,2007,1676,1416.22,259.78
11,北京市,2008,1771,1503.58,267.42
11,北京市,2009,1860,1581,279
11,北京市,2010,1961.9,1686.44,275.46
11,北京市,2011,2024,1740.03,278.57
11,北京市,2012,2078,1783.74,285.56
11,北京市,2013,2125,1825.07,289.73
11,北京市,2014,2171,1857.91,293.69
11,北京市,2015,2188,1877.48,293.02
11,北京市,2016,2195,1879.64,293.36
11,北京市,2017,2194,1877.66,293.04
11,北京市,2018,2192,1863.21,290.79
11,北京市,2019,2190,1865,289
11,北京市,2020,2189,1916.64,272.67
11,北京市,2021,2189,1916,273
11,北京市,2022,2184,1913,271
11,北京市,2023,2186,1920,266
11,北京市,2024,2183,1926,257.2
12,天津市,2000,1001,,
12,天津市,2001,1004.06,,
12,天津市,2002,1007,,
12,天津市,2003,1011,,
12,天津市,2004,1024,,
12,天津市,2005,1042.53,783.04,259.49
12,天津市,2006,1075,814.1,260.9
12,天津市,2007,1115,850.86,264.14
12,天津市,2008,1176,908.22,267.78
12,天津市,2009,1228.16,958.09,270.07
12,天津市,2010,1299.29,1033.59,265.7
12,天津市,2011,1341,1090.44,264.14
12,天津市,2012,1378,1152.42,260.73
12,天津市,2013,1410,1207.36,264.85
12,天津市,2014,1429,1247.88,268.93
12,天津市,2015,1439,1278.4,268.55
12,天津市,2016,1443,1295.37,266.63
12,天津市,2017,1410,1291.22,265.78
12,天津市,2018,1383,1297.14,262.86
12,天津市,2019,1385,1304,258
12,天津市,2020,1386.84,1174.65,212.19
12,天津市,2021,1373,1165,208
12,天津市,2022,1363,1160,203
12,天津市,2023,1364,1166,198
12,天津市,2024,1364,1173,191
13,河北省,2000,6674,,
13,河北省,2001,6699.13,,
13,河北省,2002,6735,,
13,河北省,2003,6769,,
13,河北省,2004,6809,,
13,河北省,2005,6850.83,2582.16,4268.67
13,河北省,2006,6897.86,2673.97,4223.89
13,河北省,2007,6943.19,2794.71,4148.48
13,河北省,2008,6988.82,2928.43,4060.39
13,河北省,2009,7034.4,3077.17,3957.23
13,河北省,2010,7193.6,3200.82,3992.78
13,河北省,2011,7232,3301.67,3938.84
13,河北省,2012,7262,3410.55,3876.96
13,河北省,2013,7288,3528.45,3804.16
13,河北省,2014,7323,3642.4,3741.35
13,河北省,2015,7345,3811.21,3613.71
13,河北省,2016,7375,3983,3487
13,河北省,2017,7409,4136.49,3383.03
13,河北省,2018,7426,4263.85,3292.15
13,河北省,2019,7447,4374,3218
13,河北省,2020,7463.84,4483.53,2980.31
13,河北省,2021,7448,4554,2894
13,河北省,2022,7420,4575,2845
13,河北省,2023,7393,4641,2752
13,河北省,2024,7378,4679,2699
14,山西省,2000,3247,,
14,山西省,2001,3271.63,,
14,山西省,2002,3294,,
14,山西省,2003,3314,,
14,山西省,2004,3335,,
14,山西省,2005,3355.21,1412.81,1942.4
14,山西省,2006,3374.55,1451.39,1923.16
14,山西省,2007,3392.58,1493.75,1898.83
