省,省代码,年份,CO2排放量_吨
安徽省,340000,1970,32424993.18
澳门特别行政区,820000,1970,178299.0981
北京市,110000,1970,23066813.11
福建省,350000,1970,13801377.16
甘肃省,620000,1970,26025616.63
广东省,440000,1970,33022070.93
广西壮族自治区,450000,1970,21374831.09
贵州省,520000,1970,14015955.91
海南省,460000,1970,3267966.738
河北省,130000,1970,55643879.08
河南省,410000,1970,58730702.82
黑龙江省,230000,1970,41111547.03
湖北省,420000,1970,33137006.28
湖南省,430000,1970,24499078.76
吉林省,220000,1970,28331181.26
江苏省,320000,1970,57102183.32
江西省,360000,1970,18443032.6
辽宁省,210000,1970,51504451.15
内蒙古自治区,150000,1970,32422826.93
宁夏回族自治区,640000,1970,8815461.559
青海省,630000,1970,4698939.31
山东省,370000,1970,126673257.7
山西省,140000,1970,34763080.71
陕西省,610000,1970,26898628.04
上海市,310000,1970,21694990.55
四川省,510000,1970,31503490.95
台湾省,710000,1970,32152896.85
天津市,120000,1970,16377252.86
西藏自治区,540000,1970,2786964.102
香港特别行政区,810000,1970,8843916.106
新疆维吾尔自治区,650000,1970,28066640.64
云南省,530000,1970,17303915.94
浙江省,330000,1970,16328207.05
重庆市,500000,1970,10602051.51
安徽省,340000,1971,32628575.92
澳门特别行政区,820000,1971,181688.1264
北京市,110000,1971,22999233.21
福建省,350000,1971,13955660.48
甘肃省,620000,1971,26050577.12
广东省,440000,1971,33240173.86
广西壮族自治区,450000,1971,21582920.79
贵州省,520000,1971,14285959.65
海南省,460000,1971,3322621.351
河北省,130000,1971,55669522.19
河南省,410000,1971,59483651.47
黑龙江省,230000,1971,40943907.36
湖北省,420000,1971,33417027.74
湖南省,430000,1971,24542155.64
吉林省,220000,1971,28173345.43
江苏省,320000,1971,57241878.4
江西省,360000,1971,18474969.29
辽宁省,210000,1971,51310844.82
内蒙古自治区,150000,1971,32350310.18
宁夏回族自治区,640000,1971,8818602.417
青海省,630000,1971,4676636.038
山东省,370000,1971,126846864.2
山西省,140000,1971,35680481.99
陕西省,610000,1971,26867784.99
上海市,310000,1971,21707192.01
四川省,510000,1971,31406145.81
台湾省,710000,1971,32303722.31
天津市,120000,1971,16699214.5
西藏自治区,540000,1971,2809295.595
香港特别行政区,810000,1971,8888706.843
新疆维吾尔自治区,650000,1971,28050358.62
云南省,530000,1971,17477676.62
浙江省,330000,1971,16472787.33
