co2_emissions,gdp,green_invention_patents,green_utility_patents,credit,bond,investment,insurance,equity,fund,carbon_finance
71538175.19,4880,98,109,0.024,0.067,0.12,0.007,0.034,0.03,6.212
69645920.86,5348.1,165,202,0.024,0.069,0.095,0.011,0.037,0.03,6.25
80866286.07,5908.1,272,230,0.025,0.076,0.101,0.01,0.038,0.035,5.533
92319351.45,6952.5,382,254,0.024,0.079,0.116,0.009,0.04,0.037,4.827
108254088.2,8309.4,451,354,0.025,0.084,0.081,0.013,0.04,0.039,4.367
115370448,9398.8,689,474,0.027,0.083,0.095,0.015,0.045,0.039,3.923
124628480,10825.4,903,503,0.028,0.091,0.077,0.015,0.045,0.039,3.814
127207432,13179.8,1210,646,0.034,0.095,0.073,0.009,0.051,0.043,3.074
133276677.8,14877.1,1433,944,0.032,0.099,0.082,0.012,0.053,0.047,2.955
149620546.7,16181.4,1731,1313,0.031,0.098,0.069,0.018,0.049,0.043,2.706
167517170.3,18319.6,2107,1547,0.034,0.098,0.056,0.026,0.054,0.045,2.609
174438236.8,20406.1,2435,1793,0.037,0.111,0.064,0.024,0.054,0.047,2.51
179224048.6,21774.9,2797,2113,0.035,0.106,0.066,0.024,0.055,0.048,2.305
181945393.6,23809.4,3216,1995,0.04,0.109,0.059,0.022,0.059,0.051,2.356
186258094.7,25964.5,3433,2338,0.036,0.115,0.072,0.031,0.057,0.05,2.191
193922502.3,27821.6,4423,3043,0.04,0.121,0.065,0.038,0.061,0.057,1.965
181333613.2,30963.9,5144,3798,0.04,0.128,0.052,0.055,0.064,0.059,1.789
183883762.2,34378.3,6228,4934,0.037,0.121,0.05,0.078,0.063,0.059,1.849
188922189.7,37769.1,7335,5421,0.041,0.131,0.057,0.08,0.071,0.062,1.813
196674965.8,40241.2,8838,7331,0.047,0.141,0.059,0.071,0.072,0.068,1.514
193113587.5,41603.9,10179,9166,0.052,0.143,0.063,0.069,0.078,0.064,1.566
202709667.9,47059.4,11437,8842,0.049,0.151,0.052,0.056,0.078,0.066,1.431
196101244.4,48594.5,11055,7100,0.049,0.156,0.053,0.057,0.079,0.066,1.391
205270742.6,51404.5,11219,7742,0.05,0.152,0.053,0.058,0.08,0.065,1.321
72648407.07,2052.3,27,40,0.025,0.068,0.261,0.015,0.034,0.033,4.057
75648291.05,2186.4,42,30,0.027,0.076,0.229,0.016,0.037,0.032,3.023
79207724.23,2392,46,43,0.027,0.077,0.27,0.019,0.04,0.036,3.422
94204005.04,2673.6,66,47,0.027,0.077,0.228,0.019,0.041,0.034,3.063
109501158.9,3185.3,59,38,0.026,0.082,0.215,0.027,0.044,0.036,1.645
119960510,3553.3,90,38,0.028,0.086,0.275,0.02,0.047,0.041,1.784
142414875.3,4157.7,97,73,0.033,0.088,0.221,0.018,0.045,0.042,1.99
161465059.9,5166,107,62,0.028,0.094,0.189,0.015,0.049,0.043,1.78
165360706.5,6120.6,163,114,0.035,0.097,0.185,0.029,0.05,0.048,1.309
170803511.1,6690.2,172,146,0.031,0.097,0.152,0.043,0.052,0.045,1.218
181827081.4,7869.9,236,182,0.033,0.1,0.14,0.042,0.053,0.045,1.279
197174329.7,9666.2,264,230,0.033,0.102,0.139,0.042,0.056,0.049,0.721
212927885.9,11266.3,361,302,0.041,0.114,0.127,0.043,0.061,0.054,0.786
222280623.6,13027,413,358,0.038,0.11,0.115,0.051,0.06,0.052,0.861
219311997.2,14275.1,557,574,0.043,0.119,0.128,0.048,0.061,0.053,0.718
214986350.3,15358.6,706,773,0.04,0.124,0.11,0.054,0.065,0.054,0.684
210642417.6,16773.6,973,1016,0.039,0.117,0.102,0.054,0.058,0.053,0.612
212542299.1,18864.6,1094,1448,0.041,0.138,0.134,0.07,0.069,0.064,0.575
217358232.5,21427.5,1362,1881,0.043,0.135,0.106,0.065,0.072,0.057,0.747
216829878.7,23902.1,1378,1861,0.041,0.138,0.091,0.074,0.068,0.061,0.517
215735429.4,25214.5,1584,2672,0.044,0.132,0.08,0.056,0.071,0.06,0.554
219190745.8,27895.3,1585,2390,0.048,0.142,0.077,0.049,0.077,0.062,0.479
212591576.9,29301.1,1919,2416,0.047,0.146,0.077,0.05,0.075,0.062,0.432
224286167.5,30595.8,2319,2532,0.048,0.146,0.076,0.05,0.075,0.061,0.401
140109202.8,1551.3,11,21,0.024,0.071,0.364,0.032,0.037,0.033,3.523
142679832.3,1729.5,15,27,0.024,0.07,0.322,0.032,0.038,0.03,4.075
156339684.1,1959.7,12,28,0.026,0.078,0.311,0.028,0.04,0.035,2.772
193669046.1,2415.1,15,36,0.026,0.082,0.282,0.032,0.04,0.038,3.44
228895004.3,2976.2,30,31,0.029,0.083,0.226,0.022,0.042,0.039,2.543
275958206,3562.7,23,39,0.028,0.088,0.261,0.027,0.047,0.038,1.973
328438311.5,4212.3,37,48,0.03,0.085,0.168,0.032,0.044,0.041,1.749
386697371.9,5239.6,43,42,0.033,0.095,0.17,0.03,0.05,0.046,1.508
397196539.4,6352.4,35,50,0.033,0.093,0.126,0.042,0.047,0.041,1.26
408871292.1,7227,37,73,0.037,0.106,0.125,0.041,0.053,0.045,0.784
464827282.6,8342.1,62,85,0.032,0.107,0.09,0.046,0.052,0.047,0.847
513846056.4,9610.8,97,117,0.034,0.109,0.11,0.052,0.055,0.051,0.817
523005877.2,10638.9,87,166,0.038,0.113,0.078,0.063,0.059,0.049,0.636
551492270.4,11584.9,174,185,0.04,0.117,0.087,0.049,0.064,0.053,0.641
542966399.2,12377.3,183,272,0.034,0.116,0.093,0.057,0.056,0.055,0.646
