uid,city,列1,year,各省环保项目信贷总额(亿元),各省信贷总额(亿元),绿色信贷,绿色债券发行总额（亿元),所有债券发行总额（亿元）,绿色债券,环境污染治理投资亿元,GDP（亿元）,绿色投资,财政环境保护支出（亿元）,总保费支出（亿元）,绿色保险,碳交易用能权交易排污权交易亿元,权益市场交易总额亿元,绿色权益,绿色基金总市值亿元,所有基金总市值亿元,绿色基金,碳排放量(万吨),GDP（亿元）2,碳金融,绿色金融指数
1,上海市,,2000,49.450,2065.440,0.024,149.190,2228.570,0.067,544.400,4551.150,0.120,10.500,1485.980,0.007,87.350,2551.610,0.034,6.670,219.260,0.030,28272.000,4551.150,6.212,0.168
102,上海市,,2001,52.470,2164.730,0.024,145.360,2103.360,0.069,497.040,5210.120,0.095,16.320,1438.810,0.011,99.030,2699.820,0.037,6.720,225.300,0.030,32562.600,5210.120,6.250,0.136
103,上海市,,2002,66.740,2682.060,0.025,197.680,2593.920,0.076,582.400,5741.030,0.101,14.810,1514.340,0.010,107.440,2814.040,0.038,9.010,257.570,0.035,31763.600,5741.030,5.533,0.226
104,上海市,,2003,59.460,2434.630,0.024,215.890,2748.920,0.079,775.670,6694.230,0.116,16.510,1808.000,0.009,128.920,3214.760,0.040,9.800,267.650,0.037,32315.000,6694.230,4.827,0.194
105,上海市,,2004,73.080,2914.780,0.025,244.660,2928.080,0.084,653.990,8072.830,0.081,22.320,1735.180,0.013,120.890,3012.300,0.040,10.500,269.910,0.039,35256.000,8072.830,4.367,0.190
106,上海市,,2005,80.180,3018.720,0.027,245.570,2961.110,0.083,877.950,9247.660,0.095,23.250,1545.620,0.015,156.230,3447.170,0.045,10.660,274.150,0.039,36275.000,9247.660,3.923,0.193
107,上海市,,2006,76.990,2766.380,0.028,266.650,2944.720,0.091,818.820,10572.200,0.077,28.390,1888.380,0.015,163.450,3642.740,0.045,12.860,327.680,0.039,40326.000,10572.200,3.814,0.211
108,上海市,,2007,118.030,3457.270,0.034,323.590,3397.030,0.095,908.790,12494.000,0.073,20.040,2156.380,0.009,190.760,3770.040,0.051,12.680,295.390,0.043,38410.199,12494.000,3.074,0.300
109,上海市,,2008,113.650,3574.950,0.032,309.530,3128.540,0.099,1149.830,14069.900,0.082,25.080,2056.540,0.012,198.850,3745.560,0.053,15.610,332.670,0.047,41580.000,14069.900,2.955,0.344
110,上海市,,2009,107.760,3493.850,0.031,312.540,3181.370,0.098,1036.790,15046.500,0.069,33.960,1930.810,0.018,196.080,3987.820,0.049,14.220,332.920,0.043,40716.000,15046.500,2.706,0.109
111,上海市,,2010,123.900,3593.100,0.034,314.920,3198.650,0.098,955.250,17166.000,0.056,47.310,1836.300,0.026,226.980,4232.100,0.054,16.090,358.040,0.045,44778.000,17166.000,2.609,0.182
112,上海市,,2011,138.840,3794.460,0.037,402.220,3626.040,0.111,1224.910,19195.700,0.064,51.620,2136.880,0.024,242.730,4483.450,0.054,17.830,378.110,0.047,48186.398,19195.700,2.510,0.246
113,上海市,,2012,117.500,3334.500,0.035,415.080,3902.440,0.106,1333.280,20181.700,0.066,55.180,2307.000,0.024,243.580,4413.580,0.055,16.360,338.800,0.048,46508.801,20181.700,2.305,0.111
114,上海市,,2013,150.220,3792.650,0.040,361.480,3307.920,0.109,1283.280,21818.200,0.059,56.430,2533.940,0.022,266.500,4515.130,0.059,18.280,360.580,0.051,51400.801,21818.200,2.356,0.196
115,上海市,,2014,142.610,3932.580,0.036,435.220,3772.440,0.115,1694.150,23567.700,0.072,77.320,2506.060,0.031,252.580,4421.430,0.057,18.130,365.940,0.050,51625.602,23567.700,2.191,0.139
116,上海市,,2015,159.580,3953.670,0.040,459.640,3786.660,0.121,1637.970,25123.400,0.065,104.350,2711.290,0.038,299.170,4915.040,0.061,21.120,372.490,0.057,49378.000,25123.400,1.965,0.266
117,上海市,,2016,155.320,3906.380,0.040,541.120,4222.360,0.128,1462.120,28178.700,0.052,134.410,2459.210,0.055,327.800,5105.450,0.064,26.270,444.180,0.059,50400.000,28178.700,1.789,0.264
118,上海市,,2017,140.680,3794.500,0.037,483.900,4003.530,0.121,1534.120,30633.000,0.050,224.660,2893.130,0.078,300.190,4800.390,0.063,22.870,386.940,0.059,56647.000,30633.000,1.849,0.164
119,上海市,,2018,182.440,4470.370,0.041,569.220,4345.590,0.131,1852.440,32679.900,0.057,233.390,2901.570,0.080,354.440,4966.280,0.071,28.320,458.560,0.062,59257.199,32679.900,1.813,0.265
120,上海市,,2019,207.600,4437.120,0.047,686.430,4883.640,0.141,2266.740,38155.300,0.059,184.070,2593.210,0.071,396.990,5506.210,0.072,33.220,491.600,0.068,57774.602,38155.300,1.514,0.366
121,上海市,,2020,234.230,4499.140,0.052,723.280,5062.400,0.143,2455.840,38700.600,0.063,181.880,2643.770,0.069,412.930,5266.510,0.078,29.350,460.780,0.064,60608.000,38700.600,1.566,0.433
122,上海市,,2021,224.520,4590.050,0.049,794.870,5255.380,0.151,2238.700,43214.900,0.052,159.300,2825.410,0.056,423.250,5453.550,0.078,34.640,521.860,0.066,61828.000,43214.900,1.431,0.349
123,上海市,,2022,228.730,4640.440,0.049,821.170,5258.400,0.156,2308.260,44652.800,0.053,163.090,2837.220,0.057,435.330,5516.150,0.079,34.710,529.340,0.066,62092.801,44652.800,1.391,0.381
124,上海市,,2023,232.410,4686.520,0.050,823.230,5423.750,0.152,2344.860,47218.700,0.053,167.500,2910.980,0.058,447.330,5617.390,0.080,35.090,541.680,0.065,62357.602,47218.700,1.321,0.393
,云南省,,2000,55.570,2261.220,0.025,144.370,2112.690,0.068,509.630,1955.090,0.261,19.410,1287.330,0.015,91.870,2707.260,0.034,8.330,248.820,0.033,7932.000,1955.090,4.057,0.284
,云南省,,2001,65.240,2449.150,0.027,192.700,2528.560,0.076,490.160,2138.310,0.229,27.700,1753.390,0.016,105.990,2834.480,0.037,8.460,266.660,0.032,6463.800,2138.310,3.023,0.351
,云南省,,2002,71.690,2619.970,0.027,186.120,2403.360,0.077,625.120,2312.820,0.270,33.460,1792.270,0.019,124.880,3153.180,0.040,9.500,262.230,0.036,7915.600,2312.820,3.422,0.388
,云南省,,2003,64.630,2387.270,0.027,193.440,2518.140,0.077,582.910,2556.020,0.228,28.870,1482.930,0.019,119.460,2919.130,0.041,8.290,243.030,0.034,7829.200,2556.020,3.063,0.252
,云南省,,2004,66.890,2541.820,0.026,235.470,2861.380,0.082,663.810,3081.910,0.215,43.820,1649.590,0.027,150.000,3386.750,0.044,9.990,277.280,0.036,5068.800,3081.910,1.645,0.299
,云南省,,2005,77.650,2798.230,0.028,229.390,2669.730,0.086,953.430,3461.730,0.275,38.060,1909.920,0.020,156.180,3343.160,0.047,12.450,300.720,0.041,6175.000,3461.730,1.784,0.339
,云南省,,2006,93.450,2865.680,0.033,279.510,3178.320,0.088,879.650,3988.140,0.221,39.160,2168.800,0.018,157.850,3525.390,0.045,11.860,281.480,0.042,7935.200,3988.140,1.990,0.306
,云南省,,2007,87.950,3128.230,0.028,301.650,3200.720,0.094,901.270,4772.520,0.189,31.380,2037.540,0.015,188.050,3858.170,0.049,14.080,330.970,0.043,8494.200,4772.520,1.780,0.222
,云南省,,2008,121.390,3483.630,0.035,342.800,3551.630,0.097,1054.960,5692.120,0.185,58.460,2004.280,0.029,192.280,3877.330,0.050,15.930,335.240,0.048,7453.600,5692.120,1.309,0.423
,云南省,,2009,99.930,3211.950,0.031,299.350,3074.780,0.097,939.150,6169.750,0.152,82.160,1927.990,0.043,213.940,4116.190,0.052,13.480,296.700,0.045,7516.800,6169.750,1.218,0.217
