uid,province_id,province,year,co2_emissions,绿色信贷,绿色债券,绿色投资,绿色保险,绿色权益,绿色基金,碳金融,绿色金融指数,green_finance_pilot
1100,4,Beijing,2000,43133076.5,0.022,0.068,0.238,0.01,0.035,0.032,12.104,0.226,0
1101,4,Beijing,2001,43311434.79,0.023,0.072,0.155,0.01,0.039,0.031,8.844,0.202,0
1102,4,Beijing,2002,45715663.79,0.025,0.078,0.155,0.011,0.038,0.035,7.485,0.254,0
1103,4,Beijing,2003,49524960.71,0.025,0.076,0.128,0.012,0.04,0.034,6.578,0.141,0
1104,4,Beijing,2004,54575775.19,0.029,0.081,0.108,0.017,0.039,0.037,6.016,0.225,0
1105,4,Beijing,2005,60665551.72,0.027,0.084,0.117,0.013,0.043,0.038,5.169,0.167,0
1106,4,Beijing,2006,63899288.38,0.03,0.091,0.109,0.014,0.05,0.039,4.857,0.312,0
1107,4,Beijing,2007,63753557.37,0.033,0.099,0.104,0.016,0.05,0.047,4.002,0.381,0
1108,4,Beijing,2008,63535280.7,0.034,0.101,0.107,0.016,0.052,0.049,3.755,0.432,0
1109,4,Beijing,2009,66557701.46,0.033,0.102,0.106,0.025,0.054,0.048,3.768,0.275,0
1110,4,Beijing,2010,72923448.49,0.033,0.11,0.096,0.024,0.058,0.052,3.134,0.349,0
1111,4,Beijing,2011,75572433.96,0.038,0.107,0.082,0.037,0.056,0.047,2.912,0.276,0
1112,4,Beijing,2012,78344338.98,0.035,0.112,0.083,0.042,0.061,0.051,2.586,0.282,0
1113,4,Beijing,2013,78136552.06,0.039,0.112,0.075,0.063,0.06,0.049,2.344,0.248,0
1114,4,Beijing,2014,79475485.6,0.041,0.122,0.083,0.073,0.066,0.056,2.301,0.421,0
1115,4,Beijing,2015,80420685.95,0.037,0.119,0.064,0.122,0.058,0.052,2.371,0.244,0
1116,4,Beijing,2016,74134216.64,0.039,0.121,0.074,0.145,0.062,0.052,2.088,0.222,0
1117,4,Beijing,2017,76233830.49,0.047,0.128,0.074,0.183,0.071,0.057,2.063,0.457,0
1118,4,Beijing,2018,77704186.72,0.049,0.138,0.077,0.139,0.075,0.059,1.923,0.465,0
1119,4,Beijing,2019,78044413.08,0.047,0.128,0.058,0.1,0.064,0.057,1.657,0.204,0
1120,4,Beijing,2020,77630137.1,0.045,0.14,0.064,0.091,0.072,0.065,1.734,0.319,0
1121,4,Beijing,2021,80102176.49,0.052,0.14,0.047,0.073,0.071,0.066,1.441,0.281,0
1122,4,Beijing,2022,77157245.19,0.051,0.138,0.048,0.073,0.071,0.066,1.442,0.287,0
1123,4,Beijing,2023,82272659.93,0.051,0.135,0.047,0.074,0.07,0.068,1.416,0.276,0
1200,7,Tianjin,2000,47741953.04,0.021,0.066,0.308,0.002,0.036,0.032,9.74,0.193,0
1201,7,Tianjin,2001,51193703.78,0.026,0.075,0.322,0.002,0.039,0.036,7.846,0.362,0
1202,7,Tianjin,2002,53101506.55,0.026,0.078,0.251,0.003,0.039,0.033,7.704,0.257,0
1203,7,Tianjin,2003,57383888.99,0.028,0.079,0.259,0.004,0.043,0.038,5.988,0.347,0
1204,7,Tianjin,2004,62326363.59,0.026,0.082,0.206,0.004,0.042,0.038,5.735,0.177,0
1205,7,Tianjin,2005,81987471.61,0.026,0.084,0.194,0.004,0.042,0.037,3.905,0.101,0
1206,7,Tianjin,2006,83839460.98,0.029,0.091,0.176,0.004,0.048,0.039,3.931,0.246,0
1207,7,Tianjin,2007,85655154.76,0.033,0.093,0.185,0.003,0.047,0.041,3.892,0.223,0
1208,7,Tianjin,2008,88093846.08,0.033,0.096,0.176,0.006,0.051,0.046,3.322,0.299,0
1209,7,Tianjin,2009,106989661.5,0.032,0.099,0.154,0.007,0.051,0.044,2.434,0.16,0
1210,7,Tianjin,2010,118707038.0,0.036,0.105,0.111,0.013,0.053,0.047,2.012,0.252,0
1211,7,Tianjin,2011,123786522.2,0.034,0.104,0.105,0.015,0.052,0.048,1.912,0.126,0
1212,7,Tianjin,2012,125890653.6,0.041,0.11,0.121,0.017,0.059,0.05,1.771,0.313,0
1213,7,Tianjin,2013,129313933.0,0.04,0.119,0.105,0.022,0.062,0.05,1.757,0.334,0
1214,7,Tianjin,2014,133682904.5,0.037,0.12,0.113,0.026,0.06,0.057,1.587,0.281,0
1215,7,Tianjin,2015,128492738.9,0.037,0.117,0.084,0.026,0.065,0.052,1.331,0.184,0
1216,7,Tianjin,2016,124757728.4,0.038,0.128,0.09,0.022,0.067,0.057,1.57,0.208,0
1217,7,Tianjin,2017,125890652.3,0.045,0.132,0.104,0.044,0.069,0.063,1.538,0.364,0
1218,7,Tianjin,2018,136320006.2,0.046,0.129,0.081,0.024,0.065,0.057,1.404,0.169,0
1219,7,Tianjin,2019,142040963.6,0.05,0.139,0.163,0.078,0.072,0.064,1.876,0.415,0
1220,7,Tianjin,2020,139935786.1,0.043,0.131,0.125,0.02,0.067,0.059,1.748,0.099,0
1221,7,Tianjin,2021,144835939.7,0.048,0.141,0.123,0.017,0.076,0.063,1.707,0.249,0
1222,7,Tianjin,2022,143018498.1,0.047,0.14,0.122,0.017,0.076,0.063,1.597,0.24,0
1223,7,Tianjin,2023,151678325.1,0.047,0.14,0.123,0.017,0.075,0.063,1.513,0.244,0
1300,17,Hebei,2000,253490019.9,0.022,0.066,0.091,0.016,0.036,0.033,4.698,0.262,0
1301,17,Hebei,2001,271754640.2,0.024,0.071,0.086,0.02,0.036,0.032,4.199,0.233,0
1302,17,Hebei,2002,308619335.8,0.025,0.078,0.127,0.017,0.042,0.034,4.34,0.333,0
1303,17,Hebei,2003,346976462.4,0.028,0.079,0.09,0.021,0.04,0.035,3.61,0.285,0
1304,17,Hebei,2004,394407975.8,0.028,0.087,0.08,0.019,0.043,0.037,3.386,0.309,0
1305,17,Hebei,2005,456920329.8,0.029,0.086,0.087,0.018,0.045,0.041,2.858,0.297,0
1306,17,Hebei,2006,494913641.5,0.03,0.086,0.075,0.023,0.047,0.039,2.338,0.242,0
1307,17,Hebei,2007,544309808.1,0.032,0.092,0.074,0.021,0.048,0.042,2.353,0.263,0
1308,17,Hebei,2008,561276016.1,0.03,0.091,0.067,0.04,0.045,0.042,1.952,0.151,0
1309,17,Hebei,2009,631064666.3,0.035,0.102,0.063,0.043,0.051,0.046,1.721,0.279,0
1310,17,Hebei,2010,671608212.2,0.039,0.112,0.062,0.054,0.058,0.047,1.519,0.443,0
1311,17,Hebei,2011,721983402.6,0.038,0.108,0.054,0.043,0.055,0.048,1.458,0.283,0
1312,17,Hebei,2012,743645280.2,0.035,0.112,0.051,0.051,0.056,0.053,1.389,0.262,0
1313,17,Hebei,2013,782139407.4,0.037,0.115,0.055,0.066,0.055,0.048,1.331,0.2,0
1314,17,Hebei,2014,802650737.3,0.038,0.121,0.061,0.075,0.064,0.052,1.382,0.327,0
1315,17,Hebei,2015,763994082.6,0.037,0.118,0.053,0.107,0.062,0.056,1.201,0.287,0
1316,17,Hebei,2016,748779612.2,0.041,0.127,0.053,0.099,0.063,0.056,1.125,0.286,0
1317,17,Hebei,2017,754433716.1,0.045,0.126,0.046,0.146,0.065,0.058,1.12,0.333,1
1318,17,Hebei,2018,796202800.1,0.046,0.134,0.062,0.162,0.07,0.06,1.088,0.391,1
1319,17,Hebei,2019,828197199.5,0.048,0.144,0.068,0.194,0.074,0.059,1.276,0.422,1
1320,17,Hebei,2020,826743287.6,0.044,0.145,0.057,0.152,0.078,0.065,1.306,0.438,1
1321,17,Hebei,2021,820615047.8,0.046,0.138,0.065,0.106,0.075,0.064,1.156,0.284,1
1322,17,Hebei,2022,786684018.2,0.047,0.136,0.066,0.106,0.074,0.063,1.07,0.271,1
1323,17,Hebei,2023,810303188.5,0.046,0.135,0.068,0.107,0.074,0.062,1.0,0.258,1
1400,11,Shanxi,2000,165876878.5,0.021,0.067,0.279,0.021,0.034,0.033,8.782,0.255,0
1401,11,Shanxi,2001,173419965.7,0.022,0.072,0.244,0.02,0.038,0.032,7.27,0.255,0
1402,11,Shanxi,2002,199129088.3,0.023,0.072,0.253,0.019,0.037,0.034,6.991,0.178,0
1403,11,Shanxi,2003,227608100.8,0.025,0.081,0.246,0.029,0.044,0.035,5.288,0.354,0
1404,11,Shanxi,2004,259195835.4,0.026,0.088,0.207,0.026,0.043,0.039,4.689,0.359,0
1405,11,Shanxi,2005,313274691.0,0.03,0.089,0.193,0.028,0.046,0.039,3.904,0.397,0
1406,11,Shanxi,2006,338823362.9,0.03,0.091,0.23,0.022,0.048,0.045,4.121,0.415,0
1407,11,Shanxi,2007,369838816.3,0.029,0.096,0.161,0.023,0.051,0.044,3.541,0.296,0
1408,11,Shanxi,2008,381437919.4,0.031,0.094,0.147,0.031,0.049,0.044,2.816,0.253,0
1409,11,Shanxi,2009,418635254.2,0.037,0.105,0.15,0.032,0.055,0.045,3.082,0.374,0
1410,11,Shanxi,2010,448659477.4,0.031,0.103,0.126,0.037,0.054,0.046,2.418,0.203,0
1411,11,Shanxi,2011,495650066.9,0.04,0.114,0.128,0.037,0.06,0.05,2.184,0.428,0
1412,11,Shanxi,2012,518496390.5,0.037,0.112,0.118,0.035,0.061,0.049,1.82,0.299,0
1413,11,Shanxi,2013,535790938.2,0.036,0.119,0.109,0.042,0.059,0.05,1.687,0.275,0
1414,11,Shanxi,2014,525515876.0,0.04,0.114,0.115,0.035,0.057,0.054,1.92,0.233,0
1415,11,Shanxi,2015,504833116.1,0.041,0.113,0.123,0.042,0.059,0.051,1.788,0.163,0
1416,11,Shanxi,2016,501151417.2,0.041,0.124,0.104,0.04,0.063,0.059,1.904,0.254,0
