PKU_sum,PKU_wide,PKU_deep,PKU_Pay,bad_loan,insurance_density,insurance_pi,bank_card_pop,debit_card_pop,ATM_area,fin_sub_pop_area,SME_loanshare_assetshare,ag_loanshare_gdpshare
79.41,97.53,72.23,79.40000000000001,-.77,4125,-.28383055,4.5493207,3.6511929,.74580777,1.1084532,.52563184,5.0118275
150.65,155.56,159.42,110.02,-.59,4269,-.30982992,5.3182058,4.282371,.92859918,1.1116565,.58817178,4.9886541
215.62,193.86,247.5,136.53,-.54,4753.5,-.31997761,6.2050786,5.0013337,1.1617628,1.1386392,.59490293,6.0073829
235.36,243.92,219.89,196.25,-.72,5659,-.33713138,7.1439052,5.7618804,1.3737845,1.2355553,.59718907,6.4893475
276.38,268.39,234.17,243.23,-.84,6502,-.36113939,7.8076582,6.3859978,1.9363458,1.29217,.60311854,7.4569821
60.58,69.37000000000001,53.33,55.52,-.87,1663.6,-.31264275,3.4637747,3.0956991,.3899844,1.664031,.63809884,6.476264
122.96,110.61,135.77,74.34,-.7,1685.3,-.34011155,3.9800858,3.5688846,.48555887,1.6436765,.63093591,6.7473636
175.26,146.54,197.52,110.17,-.79,1880.2,-.36849448,4.5555301,4.0888233,.60742319,1.6241841,.60440874,8.0950384
200.16,193.86,180.28,165.52,-1.11,2094.9,-.32856005,5.1791458,4.6516557,.71827787,1.6405903,.64352697,8.6487989
237.53,211.89,195.46,206.76,-1.6,2575,-.35020259,5.5988188,5.0994725,1.0124109,1.6482178,.62490523,8.8723001
32.42,18.46,44.19,24.36,-.84,1016.1,-.25037909,1.9574891,1.7960627,.08448942,.073473521,1.2025411,3.1104655
89.31999999999999,65.45999999999999,108.15,43.52,-.66,1051.3,-.29223725,2.3306718,2.1455281,.10519413,.072985038,1.1640393,3.2907169
144.98,105.66,162.85,64.92,-.64,1147.4,-.37691694,2.7620382,2.545084,.13161923,.076314434,1.0844241,3.4964378
160.76,149.97,131.34,114.97,-.74,1266.5,-.42384773,3.2128608,2.9624729,.15563974,.078614414,1.074658,3.577055
199.53,172.78,151.45,161.59,-1.18,1570.8,-.39712733,3.522577,3.293839,.21937381,.08213228,.90188593,3.5581553
33.41,28.94,21.61,19.48,-1.45,1020,-.28519058,2.0100701,1.8232183,.053430766,.11024555,1.1273797,6.8300562
92.98,75.2,86.48,37.43,-1.04,1065.3,-.30937287,2.3969178,2.1812809,.066524349,.10901189,.97990721,7.0925136
144.22,115.4,139.08,61.87,-1.04,1142,-.40981218,2.8431873,2.5899017,.083235465,.11888553,.91232705,7.571898
167.66,163.16,124.78,117.06,-1.7,1275.7,-.39215723,3.3137422,3.0205536,.09842594,.10134213,.93300003,7.2308469
206.3,186.14,141.52,159.41,-2.34,1601,-.36473614,3.6373281,3.3622477,.13873112,.11655282,.85898525,7.236445
28.89,24.65,30.27,27.51,-.57,926,-.3089942,2.1843092,1.9635984,.0053159758,.01590218,.5978024,3.505151
91.68000000000001,75.03,95.44,45.63,-.66,995,-.34471107,2.6090579,2.3531697,.006646107,.017759338,.58548224,3.8173943
146.59,116.37,138.84,73.66,-.88,1100,-.36768606,3.1014178,2.7999427,.0082799969,.015754597,.58386868,4.0132556
172.56,165.46,114.88,117.47,-2.16,1253,-.35035279,3.6223526,3.2724245,.0097910967,.015736192,.55838108,4.0423617
214.55,185.34,136.04,154.71,-3.97,1575,-.31480855,3.9837794,3.6496699,.013800525,.016233461,.50679356,4.1893506
43.29,44.96,44.64,49.24,-1.31,1221,-.40663353,2.3969259,2.1724555,.072391585,.13468808,.79869735,1.9640483
103.53,89.01000000000001,120.36,69.54000000000001,-1.2,1323,-.45450503,2.8684831,2.6084321,.089888699,.12026206,.78693759,2.1029534
160.07,126.67,181.54,93.89,-1.18,1200.5,-.53710794,3.4196475,3.1126332,.11334046,.13671231,.76898432,2.4294717
187.61,175.49,162.89,143.45,-1.46,1802,-.52178538,4.0046358,3.6475368,.1340251,.14314562,.78351939,2.5177565
226.4,194.17,178.41,181.6,-1.64,2189,-.52541769,4.4238238,4.0861459,.18890803,.14798221,.79677838,2.4512739
24.51,23.75,24.04,23.89,-.94,809,-.26862684,1.8237711,1.6759384,.038840607,.0872005,.78527254,2.2631426
87.23,69.43000000000001,93.83,44.98,-.8,845.5,-.30747303,2.1847701,2.0143013,.048358764,.090149753,.84355277,2.4259768
138.36,106.85,147.95,72.92,-.87,968.7000000000001,-.37756705,2.6043227,2.4034376,.060506634,.090889864,.79399443,2.8192749
165.62,154.91,136.01,118.63,-1.14,1200,-.33939344,3.0493116,2.8159821,.071549095,.093908891,.78321683,3.0370417
208.2,175.49,154.68,166.01,-1.47,1596,-.29212734,3.3607554,3.1473451,.10084827,.096009091,.6707803,3.0682263
33.58,21.12,36.28,33.74,-1.17,833,-.27376857,1.7780042,1.643316,.014895031,.035469115,.54901677,2.7865899
87.91,66.48,100.46,56.37,-.9300000000000001,897.6,-.28563139,2.1307111,1.9758037,.018545162,.037371095,.52364248,2.4679763
141.4,104.49,152.58,80.25,-.91,1002.1,-.40174493,2.5400193,2.35763,.023203867,.037280653,.48730612,2.3150802
167.8,152.48,142.48,127.57,-1.55,1323.6,-.30527064,2.976778,2.7648726,.027438572,.037876811,.46069005,2.3902934
209.93,174.68,164.06,170.1,-1.72,1544,-.28609225,3.3000138,3.1083064,.038674597,.038450677,.3726795,2.5164142
80.19,98.84999999999999,86.24,100,-.61,3272,-.34656513,3.6749823,3.0086889,1.3651329,2.295562,.60117942,5.5270715
150.77,149.35,174.72,136.14,-.74,3447.3,-.31170914,4.3429999,3.5673258,1.6996682,2.3591676,.65542346,5.7336583
222.14,187.31,280.93,169.95,-.91,3401.2,-.36765212,5.1042166,4.1966376,2.127301,2.4011021,.67552865,6.9697857
239.53,237.02,242.78,225.1,-1.02,4068,-.38409084,5.9527869,4.897593,2.5155334,2.6579719,.71675044,7.8176107
278.11,258.98,259.81,268.49,-1.01,4659,-.42127165,6.5913072,5.4993749,3.5456381,2.6269732,.69225329,9.375699
62.08,66.7,79.22,80.77,-.8100000000000001,1525.6,-.27032796,2.7850835,2.5182841,.21991387,.14450587,.87805849,5.7336612
